Observation Time (UTC),Penetration (mV/m),Quiet (mV/m),Quiet plus Penetration (mV/m)
2026-03-09 01:00:00,0.021807851552972102,-0.48083757691495405,-0.45902972536198194
2026-03-09 01:05:00,-0.004973159567828853,-0.4800243807689357,-0.48499754033676457
2026-03-09 01:10:00,-0.013406309408993256,-0.4793734642745292,-0.49277977368352244
2026-03-09 01:15:00,-0.024027221002701937,-0.4788718085054169,-0.5028990295081188
2026-03-09 01:20:00,-0.03413433226010014,-0.4785063719548644,-0.5126407042149645
2026-03-09 01:25:00,-0.03529682570944708,-0.4782640905357198,-0.5135609162451669
2026-03-09 01:30:00,-0.026385550327143983,-0.4781318775804152,-0.5045174279075592
2026-03-09 01:35:00,-0.029188978715010323,-0.4780966238409669,-0.5072856025559772
2026-03-09 01:40:00,-0.03744271441089127,-0.47814519748897216,-0.5155879118998634
2026-03-09 01:45:00,-0.04032218736843249,-0.47826444411561403,-0.5185866314840465
2026-03-09 01:50:00,-0.03843835992297811,-0.4784411867316572,-0.5168795466546353
2026-03-09 01:55:00,-0.04317883719945898,-0.4786622257674499,-0.5218410629669089
2026-03-09 02:00:00,-0.042483209149869194,-0.47891433907292386,-0.521397548222793
2026-03-09 02:05:00,-0.013423117825969864,-0.4791842819175945,-0.4926073997435644
2026-03-09 02:10:00,0.016808918322291557,-0.47945878699056,-0.46264986866826846
2026-03-09 02:15:00,0.015196400529304259,-0.4797245644005016,-0.46452816387119733
2026-03-09 02:20:00,-0.011014402471631095,-0.4799683016756842,-0.4909827041473153
2026-03-09 02:25:00,-0.018761524151017592,-0.48017666376395624,-0.49893818791497385
2026-03-09 02:30:00,0.017173108150270146,-0.4803362930327491,-0.463163184882479
2026-03-09 02:35:00,0.05021482767289556,-0.4804338092690774,-0.4302189815961819
2026-03-09 02:40:00,0.054530359589148786,-0.480455809679539,-0.4259254500903902
2026-03-09 02:45:00,0.039696548794246146,-0.4803888688903151,-0.44069232009606896
2026-03-09 02:50:00,0.0010777373796609536,-0.4802195105361168,-0.47914177315645584
2026-03-09 02:55:00,-0.024473104882694118,-0.47993301868976673,-0.5044061235724608
2026-03-09 03:00:00,-0.021609046330783546,-0.47951302511951993,-0.5011220714503035
2026-03-09 03:05:00,-0.006052539829830224,-0.47894306157411887,-0.4849956014039491
2026-03-09 03:10:00,0.017681513067274703,-0.4782066784651536,-0.46052516539787886
2026-03-09 03:15:00,0.04131141535490442,-0.4772874448670619,-0.4359760295121575
2026-03-09 03:20:00,0.053358049990462834,-0.4761689485171294,-0.42281089852666653
2026-03-09 03:25:00,0.04843007689655038,-0.47483479581548976,-0.4264047189189394
2026-03-09 03:30:00,0.02003649270065573,-0.4732686118251236,-0.45323211912446787
2026-03-09 03:35:00,-0.00801676644239136,-0.47145404027185933,-0.4794708067142507
2026-03-09 03:40:00,-0.014954070670305419,-0.4693747435443736,-0.484328814214679
2026-03-09 03:45:00,-0.0007526874015791784,-0.4670144026941907,-0.4677670900957699
2026-03-09 03:50:00,0.03714924861794848,-0.4643567174356818,-0.4272074688177333
2026-03-09 03:55:00,0.07625889919725175,-0.4613854061460671,-0.38512650694881534
2026-03-09 04:00:00,0.08653201246401825,-0.4580842058654135,-0.3715521934013952
2026-03-09 04:05:00,0.06256070661929047,-0.45443687229663515,-0.3918761656773447
2026-03-09 04:10:00,0.02097041116098058,-0.450427179805496,-0.42945676864451543
2026-03-09 04:15:00,0.00165109048270659,-0.4460389214206053,-0.44438783093789874
2026-03-09 04:20:00,0.02567888024253825,-0.441255908833421,-0.41557702859088275
2026-03-09 04:25:00,0.04891622298983273,-0.4360619723982497,-0.38714574940841695
2026-03-09 04:30:00,0.04929607620007589,-0.43044096113224417,-0.3811448849321683
2026-03-09 04:35:00,0.04590084195462324,-0.42437674271540554,-0.3784759007607823
2026-03-09 04:40:00,0.04141306706888193,-0.4178532034905828,-0.3764401364217009
2026-03-09 04:45:00,0.037098364729203366,-0.41085424846347124,-0.3737558837342679
2026-03-09 04:50:00,0.01990569876055833,-0.40336476218234746,-0.38345906342178915
2026-03-09 04:55:00,-0.011423057234812397,-0.3954109776342346,-0.406834034869047
2026-03-09 05:00:00,-0.04383795890747844,-0.3870753279147221,-0.43091328682220054
2026-03-09 05:05:00,-0.060391523939142,-0.37844441628496867,-0.43883594022411065
2026-03-09 05:10:00,-0.058562346489593554,-0.369605017381035,-0.4281673638706286
2026-03-09 05:15:00,-0.029560910593895144,-0.36064407721388975,-0.3902049878077849
2026-03-09 05:20:00,-0.00003744579599382053,-0.35164871316940666,-0.35168615896540045
2026-03-09 05:25:00,0.02645112300950275,-0.3427062140083661,-0.31625509099886334
2026-03-09 05:30:00,0.058579296309661764,-0.333904039866456,-0.27532474355679426
2026-03-09 05:35:00,0.07416790551911787,-0.32532784013387694,-0.25115993461475905
2026-03-09 05:40:00,0.06757969652199061,-0.31697816795701367,-0.24939847143502306
2026-03-09 05:45:00,0.05061991318543228,-0.30873978226551463,-0.25811986908008233
2026-03-09 05:50:00,0.026746461840091596,-0.3004889436630882,-0.2737424818229966
2026-03-09 05:55:00,-0.0014310977687673726,-0.2921016621614613,-0.29353275993022865
2026-03-09 06:00:00,-0.02345723822722754,-0.2834536971803782,-0.3069109354076058
2026-03-09 06:05:00,-0.023225350733944838,-0.27442055754760086,-0.2976459082815457
2026-03-09 06:10:00,-0.006460048963382912,-0.2648775014989092,-0.27133755046229213
2026-03-09 06:15:00,0.011988169840072203,-0.25469953667810086,-0.24271136683802866
2026-03-09 06:20:00,0.02020947417038238,-0.24376286931879665,-0.22355339514841427
2026-03-09 06:25:00,0.018345458955004657,-0.23200579230477456,-0.2136603333497699
2026-03-09 06:30:00,0.014851490139350889,-0.21945110722871486,-0.20459961708936397
2026-03-09 06:35:00,0.015782515503422297,-0.20612766586531678,-0.19034515036189448
2026-03-09 06:40:00,0.01620439618700829,-0.19206433965625141,-0.17585994346924314
2026-03-09 06:45:00,0.010889560022569507,-0.1772900197101632,-0.1664004596875937
2026-03-09 06:50:00,0.003126215342544252,-0.1618336168026691,-0.15870740146012485
2026-03-09 06:55:00,-0.0027348304359885783,-0.14572406137635907,-0.14845889181234764
2026-03-09 07:00:00,-0.0038093814095272386,-0.12899030354079585,-0.1327996849503231
2026-03-09 07:05:00,-0.0013471183198263581,-0.11166131307251499,-0.11300843139234135
2026-03-09 07:10:00,-0.0008171094849923888,-0.09376607941502489,-0.09458318890001728
2026-03-09 07:15:00,-0.0010040536540161826,-0.07533361167880656,-0.07633766533282274
2026-03-09 07:20:00,-0.00015097035819189287,-0.05639314415519844,-0.05654411451339033
2026-03-09 07:25:00,0.0002658039772464509,-0.036982767151463,-0.03671696317421655
2026-03-09 07:30:00,0.001795281470119879,-0.017152586208992942,-0.015357304738873062
2026-03-09 07:35:00,0.003952288131309733,0.003046415193588009,0.006998703324897743
2026-03-09 07:40:00,0.004410503303497834,0.02356323119827122,0.027973734501769053
2026-03-09 07:45:00,0.0022084211442490458,0.04434683356766328,0.046555254711912325
2026-03-09 07:50:00,-0.0015743198888478885,0.06534617168498602,0.06377185179613813
2026-03-09 07:55:00,-0.002190980948500393,0.08651017255407661,0.08431919160557622
2026-03-09 08:00:00,-0.0015763507855246803,0.10778774079938737,0.10621139001386269
2026-03-09 08:05:00,-0.003758838573577274,0.12912775866598608,0.1253689200924088
2026-03-09 08:10:00,-0.005258371498624698,0.15047908601955529,0.14522071452093058
2026-03-09 08:15:00,-0.006745362070131433,0.17179056034639292,0.1650451982762615
2026-03-09 08:20:00,-0.006875972817341705,0.1930109967534125,0.1861350239360708
2026-03-09 08:25:00,-0.007726120124811607,0.2140891879681423,0.2063630678433307
2026-03-09 08:30:00,-0.012803767613245892,0.2349739043387261,0.2221701367254802
2026-03-09 08:35:00,-0.021869248335542883,0.2556138938339229,0.23374464549838003
2026-03-09 08:40:00,-0.03237725906504043,0.2759578820431069,0.24358062297806646
2026-03-09 08:45:00,-0.037391017063556554,0.2959545721762674,0.25856355511271084
2026-03-09 08:50:00,-0.04073838485448072,0.31555264506400904,0.2748142602095283
2026-03-09 08:55:00,-0.04368493971414661,0.3347007591575521,0.2910158194434055
2026-03-09 09:00:00,-0.03868658004035146,0.3533475505287312,0.3146609704883797
2026-03-09 09:05:00,-0.03334682647006784,0.3714416328699971,0.3380948063999293
2026-03-09 09:10:00,-0.028946648109042326,0.388931597494415,0.3599849493853727
2026-03-09 09:15:00,-0.031943841699925764,0.40576601333566614,0.3738221716357404
2026-03-09 09:20:00,-0.03211544705496009,0.42189342694804643,0.3897779798930863
2026-03-09 09:25:00,-0.029211965646922307,0.43726236250646716,0.40805039685954486
2026-03-09 09:30:00,-0.02376183003473064,0.4518213218064545,0.42805949177172387
2026-03-09 09:35:00,-0.0198802028717737,0.4655187842641508,0.44563858139237705
2026-03-09 09:40:00,-0.013906498434788585,0.47830320691631284,0.46439670848152426
2026-03-09 09:45:00,0.006946370095847045,0.49012302442031297,0.49706939451616
2026-03-09 09:50:00,0.03191473071569937,0.5009266490541381,0.5328413797698375
2026-03-09 09:55:00,0.02779530030092852,0.5106624707163917,0.5384577710173202
2026-03-09 10:00:00,0.008266990131440251,0.519278856926291,0.5275458470577313
2026-03-09 10:05:00,-0.011749787622225361,0.5267249902732717,0.5149752026510463
2026-03-09 10:10:00,-0.02719550258532274,0.5329860407592679,0.5057905381739451
2026-03-09 10:15:00,-0.0291119462159749,0.5380960524225215,0.5089841062065465
2026-03-09 10:20:00,-0.032211215611275025,0.5420925668018416,0.5098813511905665
2026-03-09 10:25:00,-0.020924806250676376,0.5450131368415742,0.5240883305908978
2026-03-09 10:30:00,0.02403540294082547,0.5468953268916039,0.5709307298324294
2026-03-09 10:35:00,0.06909052044504088,0.5477767127073534,0.6168672331523943
2026-03-09 10:40:00,0.0840117792388643,0.5476948814497832,0.6317066606886474
2026-03-09 10:45:00,0.07839809008719663,0.546687431685391,0.6250855217725877
2026-03-09 10:50:00,0.04395127885372767,0.5447919733862134,0.5887432522399411
2026-03-09 10:55:00,-0.010217476218315957,0.542046127929825,0.5318286517115091
2026-03-09 11:00:00,-0.053116821522449974,0.5384875280993371,0.48537070657688713
2026-03-09 11:05:00,-0.05950132317011198,0.5341538180834011,0.47465249491328915
2026-03-09 11:10:00,-0.02657692199679092,0.5290826534762034,0.5025057314794125
2026-03-09 11:15:00,0.01668478902985891,0.5233117012774715,0.5399964903073304
2026-03-09 11:20:00,0.027239262936637778,0.5168786398924684,0.5441179028291062
2026-03-09 11:25:00,0.03064020709219419,0.5098211591319965,0.5404613662241907
2026-03-09 11:30:00,0.04456307727636931,0.5021769602123953,0.5467400374887647
2026-03-09 11:35:00,0.05689323064999855,0.4939837557555428,0.5508769864055414
2026-03-09 11:40:00,0.06940992427839629,0.48527926978885455,0.5546891940672508
2026-03-09 11:45:00,0.06928348703296479,0.4761012377452839,0.5453847247782487
2026-03-09 11:50:00,0.060014645583960954,0.4664874064633231,0.5265020520472841
2026-03-09 11:55:00,0.04561877479590163,0.4564755341870017,0.5020943089829033
2026-03-09 12:00:00,0.042975531910148065,0.44610339056588677,0.48907892247603485
2026-03-09 12:05:00,0.03956685751877267,0.43540875665508355,0.4749756141738562
2026-03-09 12:10:00,0.02915041328768536,0.424429424915236,0.45357983820292136
2026-03-09 12:15:00,0.019680603510391113,0.4132031992125254,0.43288380272291654
2026-03-09 12:20:00,0.01837458348417982,0.4017678948186707,0.4201424783028505
2026-03-09 12:25:00,0.013026646369454569,0.39016133841092915,0.4031879847803837
2026-03-09 12:30:00,0.008408541562620594,0.37842136807209625,0.38682990963471686
2026-03-09 12:35:00,-0.0006592647760101281,0.36658583329050476,0.3659265685144946
2026-03-09 12:40:00,-0.022262382966728386,0.35469259496002575,0.33243021199329736
2026-03-09 12:45:00,-0.025867250804438805,0.34277952538006834,0.31691227457562954
2026-03-09 12:50:00,-0.008370155229143557,0.3308845082555794,0.32251435302643583
2026-03-09 12:55:00,0.00682831282057645,0.3190454386970441,0.32587375151762055
2026-03-09 13:00:00,0.01442983596266654,0.3073002232204847,0.3217300591831513
2026-03-09 13:05:00,0.017417759814809003,0.2956867797474625,0.31310453956227147
2026-03-09 13:10:00,0.02244874365162203,0.28424303760507585,0.3066917812566979
2026-03-09 13:15:00,0.021937281403171777,0.2730069375259618,0.2949442189291336
2026-03-09 13:20:00,0.011868518635938767,0.2620164316482946,0.2738849502842333
2026-03-09 13:25:00,0.004384588532547587,0.25130948351578686,0.25569407204833444
2026-03-09 13:30:00,0.005641555636045009,0.24092406807768926,0.24656562371373428
2026-03-09 13:35:00,0.00214533457547318,0.23089817168878995,0.23304350626426312
2026-03-09 13:40:00,-0.006806330885223499,0.22126979210941555,0.21446346122419205
2026-03-09 13:45:00,-0.008711204719097034,0.2120769385054303,0.20336573378633327
2026-03-09 13:50:00,-0.008029550723106942,0.20335763144823663,0.1953280807251297
2026-03-09 13:55:00,-0.012079430758198978,0.19514990291477438,0.1830704721565754
2026-03-09 14:00:00,-0.005447243883913873,0.1874917962875221,0.18204455240360823
2026-03-09 14:05:00,-0.010379157625307084,0.18042088496060718,0.1700417273353001
2026-03-09 14:10:00,-0.02806885525335473,0.1739540542197837,0.14588519896642896
2026-03-09 14:15:00,-0.024642001874987444,0.16808009416957023,0.1434380922945828
2026-03-09 14:20:00,-0.008616865015170143,0.16278578398419116,0.15416891896902102
2026-03-09 14:25:00,0.0077245038588758565,0.15805789584091015,0.165782399699786
2026-03-09 14:30:00,0.017785561797399898,0.15388319492003047,0.17166875671743037
2026-03-09 14:35:00,0.01787350660088842,0.15024843940489496,0.1681219460057834
2026-03-09 14:40:00,0.012624065288786896,0.14714038048188585,0.15976444577067275
2026-03-09 14:45:00,0.003974090649908486,0.14454576234042507,0.14851985299033355
2026-03-09 14:50:00,-0.004116504982776674,0.1424513221729737,0.13833481719019702
2026-03-09 14:55:00,-0.0016858580307289863,0.1408437901750327,0.13915793214430372
2026-03-09 15:00:00,0.010949975733562047,0.13970988954514238,0.15065986527870442
2026-03-09 15:05:00,0.015869096329434576,0.1390363364848826,0.15490543281431718
2026-03-09 15:10:00,0.0002842598568780917,0.13880984019887252,0.13909410005575062
2026-03-09 15:15:00,-0.03416987172981398,0.13901710289477118,0.1048472311649572
2026-03-09 15:20:00,-0.0701557733699193,0.13964481978327672,0.06948904641335743
2026-03-09 15:25:00,-0.08597280225954627,0.14067967907812723,0.054706876818580955
2026-03-09 15:30:00,-0.08115309134339131,0.14210836199609994,0.06095527065270863
2026-03-09 15:35:00,-0.06893909589722909,0.14391754275701177,0.07497844685978268
2026-03-09 15:40:00,-0.039870076290595566,0.1460938885837191,0.10622381229312354
2026-03-09 15:45:00,-0.015736009384649516,0.1486240597021178,0.1328880503174683
2026-03-09 15:50:00,0.015257093830058358,0.15149470934114329,0.16675180317120164
2026-03-09 15:55:00,0.050722842837517525,0.15469248373277042,0.20541532657028794
2026-03-09 16:00:00,0.06319418266790748,0.15820402211201365,0.22139820477992112
2026-03-09 16:05:00,0.0607488786946147,0.1620159567169269,0.2227648354115416
2026-03-09 16:10:00,0.04790517879845713,0.16611491278860355,0.21402009158706067
2026-03-09 16:15:00,0.03320736468953898,0.17048750857117653,0.2036948732607155
2026-03-09 16:20:00,0.010476208721651658,0.17512035531181827,0.18559656403346994
2026-03-09 16:25:00,-0.02431642981416672,0.18000005726074075,0.15568362744657405
2026-03-09 16:30:00,-0.07136993633018955,0.18511321167119563,0.11374327534100608
2026-03-09 16:35:00,-0.10428253327835578,0.19044640879947358,0.0861638755211178
2026-03-09 16:40:00,-0.10366341593033343,0.19598623190490527,0.09232281597457184
2026-03-09 16:45:00,-0.08331869766870312,0.2017192572498606,0.11840055958115747
2026-03-09 16:50:00,-0.05979532277915079,0.20763205409974908,0.1478367313205983
2026-03-09 16:55:00,-0.03672547227185184,0.21371118472301978,0.17698571245116795
2026-03-09 17:00:00,-0.01680965006669349,0.2199432043911611,0.2031335543244676
2026-03-09 17:05:00,0.0008072907829112678,0.22631466137870107,0.22712195216161235
2026-03-09 17:10:00,0.01525362091835231,0.23281209696320732,0.24806571788155962
2026-03-09 17:15:00,0.02764725194834292,0.23942204542528686,0.2670692973736298
2026-03-09 17:20:00,0.03758994263668364,0.2461378484941653,0.28372779113084895
2026-03-09 17:25:00,0.045995279002656916,0.2532458585035202,0.29924113750617715
2026-03-09 17:30:00,0.04542889780711397,0.2614303030792876,0.30685920088640156
2026-03-09 17:35:00,0.021949613324477556,0.27140405218548014,0.2933536655099577
2026-03-09 17:40:00,-0.009963504793116904,0.2838802513517898,0.2739167465586729
2026-03-09 17:45:00,-0.026474962906837346,0.299572321673588,0.2730973587667507
2026-03-09 17:50:00,-0.025113142331069264,0.31919395981192655,0.2940808174808573
2026-03-09 17:55:00,-0.003456342835257883,0.343459137993537,0.34000279515827914
2026-03-09 18:00:00,0.017886853478529887,0.3730821040108305,0.39096895748936034
2026-03-09 18:05:00,0.022845489240688792,0.40874676488562817,0.43159225412631697
2026-03-09 18:10:00,0.023199990255099837,0.4498208243670135,0.4730208146221133
2026-03-09 18:15:00,0.026573885103879476,0.4938846806901778,0.5204585657940572
2026-03-09 18:20:00,0.03280819692912115,0.5383903587920138,0.571198555721135
2026-03-09 18:25:00,0.038436822815555646,0.5807889588673382,0.6192257816828938
2026-03-09 18:30:00,0.039554578576334334,0.6185306563688936,0.658085234945228
2026-03-09 18:35:00,0.04060691792082837,0.6490647020073476,0.6896716199281759
2026-03-09 18:40:00,0.039951156715654045,0.6698394217512932,0.7097905784669473
2026-03-09 18:45:00,0.02834270121558888,0.6783022168272481,0.706644918042837
2026-03-09 18:50:00,0.013793004817865757,0.6719414546327408,0.6857344594506065
2026-03-09 18:55:00,0.0061123848684050556,0.6500458550841894,0.6561582399525945
2026-03-09 19:00:00,0.002032001079603965,0.6143490796289452,0.6163810807085492
2026-03-09 19:05:00,-0.004415709190629022,0.5667598921020962,0.5623441829114671
2026-03-09 19:10:00,-0.009185160971908576,0.5091877768055834,0.5000026158336748
2026-03-09 19:15:00,-0.006910925565923201,0.4435429385081992,0.436632012942276
2026-03-09 19:20:00,-0.021530984558286906,0.37173630244559003,0.35020531788730314
2026-03-09 19:25:00,-0.03871792332517743,0.2956795143202553,0.25696159099507787
2026-03-09 19:30:00,-0.03765063937609812,0.2172849403015468,0.1796343009254487
2026-03-09 19:35:00,-0.025685270531226264,0.1384656670256694,0.11278039649444313
2026-03-09 19:40:00,-0.010338242146312498,0.06113550159568052,0.050797259449368026
2026-03-09 19:45:00,0.0020267593251312743,-0.012791028418509197,-0.010764269093377923
2026-03-09 19:50:00,0.010637959967155232,-0.08142000636689402,-0.07078204639973878
2026-03-09 19:55:00,0.013355665194661165,-0.1437740337095929,-0.13041836851493174
2026-03-09 20:00:00,0.013296677348170643,-0.20012049036297702,-0.18682381301480638
2026-03-09 20:05:00,0.012009870671988549,-0.2508157180961397,-0.23880584742415112
2026-03-09 20:10:00,0.009563721396039252,-0.29621622349901955,-0.2866525021029803
2026-03-09 20:15:00,0.0031444770330558256,-0.3366786779824027,-0.3335342009493469
2026-03-09 20:20:00,0.0002947154542255071,-0.3725599177779205,-0.37226520232369503
2026-03-09 20:25:00,0.0012410033716374132,-0.40421694393805147,-0.40297594056641406
2026-03-09 20:30:00,0.0005853729390953641,-0.43200692233611987,-0.4314215493970245
2026-03-09 20:35:00,-0.00044853887391216253,-0.4562871836662968,-0.45673572254020894
2026-03-09 20:40:00,0.0004159205420945848,-0.47741522344359855,-0.47699930290150394
2026-03-09 20:45:00,0.0022355699704700634,-0.49574870200388926,-0.4935131320334192
2026-03-09 20:50:00,0.004035278623167642,-0.5116454445038785,-0.5076101658807108
2026-03-09 20:55:00,0.00627417754650789,-0.5254634409211218,-0.5191892633746139
2026-03-09 21:00:00,0.006577719282121047,-0.5375608460540215,-0.5309831267719005
2026-03-09 21:05:00,0.004219885651484959,-0.548292998884615,-0.54407311323313
2026-03-09 21:10:00,0.004097108305857469,-0.5578872347886061,-0.5537901264827486
2026-03-09 21:15:00,0.008732426152852132,-0.5663970042329647,-0.5576645780801126
2026-03-09 21:20:00,0.010645981259920433,-0.5738633680971349,-0.5632173868372145
2026-03-09 21:25:00,0.010131241550411127,-0.580327405065065,-0.5701961635146539
2026-03-09 21:30:00,0.007058998083988809,-0.585830211625205,-0.5787712135412162
2026-03-09 21:35:00,0.004588053328808916,-0.590412902070506,-0.585824848741697
2026-03-09 21:40:00,0.006502844222267888,-0.5941166084984205,-0.5876137642761526
2026-03-09 21:45:00,0.002021327245287375,-0.5969824808109048,-0.5949611535656174
2026-03-09 21:50:00,-0.015530535072043999,-0.5990516867144154,-0.6145822217864595
2026-03-09 21:55:00,-0.03272638248009701,-0.6003654117199116,-0.6330917942000086
2026-03-09 22:00:00,-0.03866200616837255,-0.600964859142854,-0.6396268653112266
2026-03-09 22:05:00,-0.03822600272306336,-0.6008912501032055,-0.6391172528262689
2026-03-09 22:10:00,-0.03856129028707892,-0.6001858235254307,-0.6387471138125096
2026-03-09 22:15:00,-0.03942432352073069,-0.5988898361384963,-0.638314159659227
2026-03-09 22:20:00,-0.035541901591193845,-0.5970445624758706,-0.6325864640670644
2026-03-09 22:25:00,-0.02729483666279255,-0.5946912948755243,-0.6219861315383168
2026-03-09 22:30:00,-0.03182578196363888,-0.5918713434799293,-0.6236971254435681
2026-03-09 22:35:00,-0.041460185820249525,-0.5886260362360594,-0.6300862220563089
2026-03-09 22:40:00,-0.042902648209275786,-0.5849967188953913,-0.6278993671046671
2026-03-09 22:45:00,-0.04167439768361368,-0.5810247550139032,-0.6226991526975169
2026-03-09 22:50:00,-0.03880575001067419,-0.5767515259520739,-0.6155572759627481
2026-03-09 22:55:00,-0.0354957638093848,-0.572218430874886,-0.6077141946842708
2026-03-09 23:00:00,-0.028195018419298414,-0.5674668867518224,-0.5956619051711208
2026-03-09 23:05:00,-0.0055177151717243356,-0.5625383283568696,-0.568056043528594
2026-03-09 23:10:00,0.058740043469714946,-0.5574742082685141,-0.4987341647987992
2026-03-09 23:15:00,0.10541518278797185,-0.5523159968697461,-0.44690081408177423
2026-03-09 23:20:00,0.110548078741213,-0.5471051823480557,-0.43655710360684274
2026-03-09 23:25:00,0.09954399993941256,-0.5418832706954372,-0.44233927075602464
2026-03-09 23:30:00,0.08227136284706155,-0.5366917857083849,-0.4544204228613234
2026-03-09 23:35:00,0.05101171371060003,-0.5315722689878954,-0.4805605552772954
2026-03-09 23:40:00,0.00500703265781416,-0.5265662799394686,-0.5215592472816544
2026-03-09 23:45:00,-0.031606993480407006,-0.5217153957731043,-0.5533223892535113
2026-03-09 23:50:00,-0.05606837230711324,-0.5170612115033053,-0.5731295838104186
2026-03-09 23:55:00,-0.06719998168034785,-0.5126453399490761,-0.5798453216294239
2026-03-10 00:00:00,-0.07271040736185455,-0.5085094117339234,-0.5812198190957779
2026-03-10 00:05:00,-0.0711685945797116,-0.5046945493073346,-0.5758631438870462
2026-03-10 00:10:00,-0.06591969186656924,-0.5012192740727998,-0.567138965939369
2026-03-10 00:15:00,-0.05213574284815531,-0.4980714016098798,-0.5502071444580351
2026-03-10 00:20:00,-0.037561325816119456,-0.49523653558683794,-0.5327978614029574
2026-03-10 00:25:00,-0.021732918435550266,-0.49270025709151977,-0.51443317552707
2026-03-10 00:30:00,-0.008245053193904789,-0.4904481246313538,-0.49869317782525857
2026-03-10 00:35:00,0.004669239220086403,-0.48846567413335246,-0.48379643491326607
2026-03-10 00:40:00,0.015105244634872837,-0.4867384189441114,-0.47163317430923857
2026-03-10 00:45:00,0.024790583693793118,-0.4852518498298088,-0.4604612661360157
2026-03-10 00:50:00,0.03251174295132656,-0.48399143497620756,-0.451479692024881
